scrape_date ,post_code ,record_count ,max_page
2019-04-30,43101,4,1
2019-04-30,43103,258,3
2019-04-30,43106,15,1
2019-04-30,43113,632,7
2019-04-30,43115,14,1
2019-04-30,43116,156,2
2019-04-30,43117,2,1
2019-04-30,43146,369,4
2019-04-30,43156,5,1
2019-04-30,43160,262,3
2019-04-30,43164,37,1
2019-04-30,45001,18,1
2019-04-30,45002,433,5
2019-04-30,45003,12,1
2019-04-30,45004,3,1
2019-04-30,45005,1042,11
2019-04-30,45012,110,2
2019-04-30,45013,1426,15
2019-04-30,45014,2290,23
2019-04-30,45015,270,3
2019-04-30,45018,146,2
2019-04-30,45034,175,2
2019-04-30,45036,2012,21
2019-04-30,45040,6332,64
2019-04-30,45041,33,1
2019-04-30,45042,625,7
2019-04-30,45044,1708,18
2019-04-30,45050,703,8
2019-04-30,45051,9,1
2019-04-30,45052,222,3
2019-04-30,45053,96,1
2019-04-30,45054,277,3
2019-04-30,45055,7,1
2019-04-30,45056,1065,11
2019-04-30,45061,34,1
2019-04-30,45064,59,1
2019-04-30,45065,209,3
2019-04-30,45066,2258,23
2019-04-30,45067,364,4
2019-04-30,45068,578,6
2019-04-30,45069,5376,54
2019-04-30,45070,220,3
2019-04-30,45101,20,1
2019-04-30,45102,807,9
2019-04-30,45103,1247,13
2019-04-30,45105,5,1
2019-04-30,45111,56,1
2019-04-30,45112,6,1
2019-04-30,45113,85,1
2019-04-30,45114,12,1
2019-04-30,45115,2,1
2019-04-30,45121,197,2
2019-04-30,45122,270,3
2019-04-30,45123,85,1
2019-04-30,45130,147,2
2019-04-30,45131,6,1
2019-04-30,45132,6,1
2019-04-30,45135,67,1
2019-04-30,45140,3677,37
2019-04-30,45144,25,1
2019-04-30,45146,45,1
2019-04-30,45147,40,1
2019-04-30,45148,49,1
2019-04-30,45150,2469,25
2019-04-30,45152,602,7
2019-04-30,45153,17,1
2019-04-30,45154,170,2
2019-04-30,45158,21,1
2019-04-30,45159,42,1
2019-04-30,45160,46,1
2019-04-30,45162,53,1
2019-04-30,45164,2,1
2019-04-30,45169,80,1
2019-04-30,45171,112,2
2019-04-30,45172,2,1
2019-04-30,45174,345,4
2019-04-30,45176,187,2
2019-04-30,45177,757,8
2019-04-30,45201,540,6
2019-04-30,45202,12524,100
2019-04-30,45203,527,6
2019-04-30,45204,340,4
2019-04-30,45205,443,5
2019-04-30,45206,1440,15
2019-04-30,45207,172,2
2019-04-30,45208,2373,24
2019-04-30,45211,1273,13
2019-04-30,45212,1298,13
2019-04-30,45213,632,7
2019-04-30,45214,713,8
2019-04-30,45215,2915,30
2019-04-30,45216,209,3
2019-04-30,45217,211,3
2019-04-30,45218,238,3
2019-04-30,45219,887,9
2019-04-30,45220,1122,12
2019-04-30,45221,63,1
2019-04-30,45222,92,1
2019-04-30,45223,1113,12
2019-04-30,45224,836,9
2019-04-30,45225,246,3
2019-04-30,45226,1068,11
2019-04-30,45227,1521,16
2019-04-30,45229,1033,11
2019-04-30,45230,2353,24
