ZIP,City,County,Type
43001,Alexandria,Licking,Standard
43002,Amlin,Franklin,P.O. Box
43003,Ashley,Delaware,Standard
43004,Blacklick,Franklin,Standard
43005,Bladensburg,Knox,P.O. Box
43006,Brinkhaven,Knox,Standard
43007,Broadway,Union,P.O. Box
43008,Buckeye Lake,Licking,P.O. Box
43009,Cable,Champaign,Standard
43010,Catawba,Clark,P.O. Box
43011,Centerburg,Knox,Standard
43013,Croton,Licking,Standard
43014,Danville,Knox,Standard
43015,Delaware,Delaware,Standard
43016,Dublin,Franklin,Standard
43017,Dublin,Franklin,Standard
43018,Etna,Licking,P.O. Box
43019,Fredericktown,Knox,Standard
43021,Galena,Delaware,Standard
43022,Gambier,Knox,Standard
43023,Granville,Licking,Standard
43025,Hebron,Licking,Standard
43026,Hilliard,Franklin,Standard
43027,Homer,Licking,P.O. Box
43028,Howard,Knox,Standard
43029,Irwin,Union,Standard
43030,Jacksontown,Licking,P.O. Box
43031,Johnstown,Licking,Standard
43032,Kilbourne,Delaware,P.O. Box
43033,Kirkersville,Licking,P.O. Box
43035,Lewis Center,Delaware,Standard
43036,Magnetic Springs,Union,P.O. Box
43037,Martinsburg,Knox,Standard
43040,Marysville,Union,Standard
43041,Marysville,Union,Unique
43044,Mechanicsburg,Champaign,Standard
43045,Milford Center,Union,Standard
43046,Millersport,Fairfield,Standard
43047,Mingo,Champaign,P.O. Box
43048,Mount Liberty,Knox,P.O. Box
43050,Mount Vernon,Knox,Standard
43054,New Albany,Franklin,Standard
43055,Newark,Licking,Standard
43056,Heath,Licking,Standard
43058,Newark,Licking,P.O. Box
43060,North Lewisburg,Champaign,Standard
43061,Ostrander,Delaware,Standard
43062,Pataskala,Licking,Standard
43064,Plain City,Madison,Standard
43065,Powell,Delaware,Standard
43066,Radnor,Delaware,Standard
43067,Raymond,Union,Standard
43068,Reynoldsburg,Franklin,Standard
43069,Reynoldsburg,Franklin,Unique
43070,Rosewood,Champaign,P.O. Box
43071,Saint Louisville,Licking,Standard
43072,Saint Paris,Champaign,Standard
43073,Summit Station,Licking,P.O. Box
43074,Sunbury,Delaware,Standard
43076,Thornville,Perry,Standard
43077,Unionville Center,Union,P.O. Box
43078,Urbana,Champaign,Standard
43080,Utica,Licking,Standard
43081,Westerville,Franklin,Standard
43082,Westerville,Delaware,Standard
43083,Westville,Champaign,P.O. Box
43084,Woodstock,Champaign,Standard
43085,Columbus,Franklin,Standard
43086,Westerville,Franklin,P.O. Box
43093,Newark,Licking,Unique
43101,Adelphi,Ross,P.O. Box
43102,Amanda,Fairfield,Standard
43103,Ashville,Pickaway,Standard
43105,Baltimore,Fairfield,Standard
43106,Bloomingburg,Fayette,Standard
43107,Hideaway Hls,Fairfield,Standard
43107,Bremen,Fairfield,Standard
43109,Brice,Franklin,P.O. Box
43110,Canal Winchester,Franklin,Standard
43111,Carbon Hill,Hocking,P.O. Box
43112,Carroll,Fairfield,Standard
43113,Circleville,Pickaway,Standard
43115,Clarksburg,Ross,Standard
43116,Commercial Point,Pickaway,Standard
43117,Derby,Pickaway,P.O. Box
43119,Galloway,Franklin,Standard
43123,Grove City,Franklin,Standard
43125,Groveport,Franklin,Standard
43126,Harrisburg,Franklin,P.O. Box
43127,Haydenville,Hocking,P.O. Box
43128,Jeffersonville,Fayette,Standard
43130,Lancaster,Fairfield,Standard
43135,Laurelville,Hocking,Standard
43136,Lithopolis,Fairfield,Standard
43137,Lockbourne,Franklin,Standard
43138,Logan,Hocking,Standard
43140,London,Madison,Standard
43142,Milledgeville,Fayette,P.O. Box
43143,Mount Sterling,Madison,Standard
43144,Murray City,Hocking,P.O. Box
43145,New Holland,Pickaway,Standard
43146,Orient,Pickaway,Standard
43147,Pickerington,Fairfield,Standard
43148,Pleasantville,Fairfield,Standard
43149,Rockbridge,Hocking,Standard
43150,Rushville,Fairfield,Standard
43151,Sedalia,Madison,P.O. Box
43152,South Bloomingville,Hocking,Standard
43153,South Solon,Madison,Standard
43154,Stoutsville,Fairfield,Standard
43155,Sugar Grove,Fairfield,Standard
43156,Tarlton,Pickaway,P.O. Box
43157,Thurston,Fairfield,P.O. Box
43158,Union Furnace,Hocking,P.O. Box
43160,Washington Court House,Fayette,Standard
43162,West Jefferson,Madison,Standard
43164,Williamsport,Pickaway,Standard
43194,Lockbourne,Franklin,Unique
43195,Groveport,Franklin,Unique
43199,Groveport,Franklin,Unique
43201,Columbus,Franklin,Standard
43202,Columbus,Franklin,Standard
43203,Columbus,Franklin,Standard
43204,Columbus,Franklin,Standard
43205,Columbus,Franklin,Standard
43206,Columbus,Franklin,Standard
43207,Columbus,Franklin,Standard
43209,Columbus,Franklin,Standard
43210,Columbus,Franklin,Standard
43211,Columbus,Franklin,Standard
43212,Columbus,Franklin,Standard
43213,Columbus,Franklin,Standard
43214,Columbus,Franklin,Standard
