URL, created date, expires date, num changes, wayback URLs
isfahn.org,2015-10-13,2018-10-13,2,https://web.archive.org/web/20170524141426/isfahn.org;https://web.archive.org/web/20170715211106/isfahn.org;
joycelyn.top,2016-04-04,2017-04-04,0
lightsonpublisher.com,2013-12-10,2018-12-10,0
ominousentertainment.com,2007-08-15,2018-08-15,3,https://web.archive.org/web/20110201194308/ominousentertainment.com;https://web.archive.org/web/20130618121302/ominousentertainment.com;https://web.archive.org/web/20170529190337/ominousentertainment.com;
1stsamuel.com,2008-05-15,2018-05-15,1,https://web.archive.org/web/20110128153256/1stsamuel.com;
24daystart.com,2012-05-21,2019-05-21,1,https://web.archive.org/web/20180808005811/24daystart.com;
3d-innovations.us,2015-10-08,2018-10-07,0
5deadcatscom.com,2016-05-19,2020-05-19,1,https://web.archive.org/web/20180804211944/5deadcatscom.com;
aairfiltersusa.com,2012-07-30,2019-07-30,1,https://web.archive.org/web/20130920070325/aairfiltersusa.com;
alextanphoto.com,2015-03-04,2019-03-04,5,https://web.archive.org/web/20150405022334/alextanphoto.com;https://web.archive.org/web/20151014071251/alextanphoto.com;https://web.archive.org/web/20160109090934/alextanphoto.com;https://web.archive.org/web/20160312012503/alextanphoto.com;https://web.archive.org/web/20161002000035/alextanphoto.com;
alliedfireservice.com,2007-02-10,2019-02-10,4,https://web.archive.org/web/20080820204329/alliedfireservice.com;https://web.archive.org/web/20110207132304/alliedfireservice.com;https://web.archive.org/web/20130221082817/alliedfireservice.com;https://web.archive.org/web/20140516233639/alliedfireservice.com;
allkindsoffiltersusa.co,2013-02-05,2019-02-04,1,https://web.archive.org/web/20180809021834/allkindsoffiltersusa.co;
allwaterhauling.com,2015-06-01,2018-06-01,0
alphadogsitter.com,2011-05-10,2018-05-10,2,https://web.archive.org/web/20130516131533/alphadogsitter.com;https://web.archive.org/web/20161004222214/alphadogsitter.com;
amazingyoumakeup.com,2014-09-06,2018-09-06,1,https://web.archive.org/web/20180805043003/amazingyoumakeup.com;
apothecary-rx.com,2015-12-01,2018-12-01,11,https://web.archive.org/web/20110210034956/apothecary-rx.com;https://web.archive.org/web/20160109100358/apothecary-rx.com;https://web.archive.org/web/20160115031832/apothecary-rx.com;https://web.archive.org/web/20160403130341/apothecary-rx.com;https://web.archive.org/web/20161020065603/apothecary-rx.com;https://web.archive.org/web/20170629143023/apothecary-rx.com;https://web.archive.org/web/20170711072544/apothecary-rx.com;https://web.archive.org/web/20170927191138/apothecary-rx.com;https://web.archive.org/web/20171026044234/apothecary-rx.com;https://web.archive.org/web/20180419123744/apothecary-rx.com;https://web.archive.org/web/20180816214207/apothecary-rx.com;
ashville4thofjuly.net,2017-01-05,2019-01-05,0
ashville4thofjuly.org,2017-01-05,2019-01-05,1,https://web.archive.org/web/20180810115329/ashville4thofjuly.org;
ashvillechiropractic.com,2008-06-04,2020-06-04,31,https://web.archive.org/web/20100123001028/ashvillechiropractic.com;https://web.archive.org/web/20100611140811/ashvillechiropractic.com;https://web.archive.org/web/20110128094910/ashvillechiropractic.com;https://web.archive.org/web/20111013025858/ashvillechiropractic.com;https://web.archive.org/web/20121025074253/ashvillechiropractic.com;https://web.archive.org/web/20130521031508/ashvillechiropractic.com;https://web.archive.org/web/20130622175008/ashvillechiropractic.com;https://web.archive.org/web/20130709080619/ashvillechiropractic.com;https://web.archive.org/web/20130709080651/ashvillechiropractic.com;https://web.archive.org/web/20140106053942/ashvillechiropractic.com;https://web.archive.org/web/20140208025633/ashvillechiropractic.com;https://web.archive.org/web/20140516222939/ashvillechiropractic.com;https://web.archive.org/web/20141118022131/ashvillechiropractic.com;https://web.archive.org/web/20141216184327/ashvillechiropractic.com;https://web.archive.org/web/20141224222034/ashvillechiropractic.com;https://web.archive.org/web/20150801024144/ashvillechiropractic.com;https://web.archive.org/web/20150801233127/ashvillechiropractic.com;https://web.archive.org/web/20151011051014/ashvillechiropractic.com;https://web.archive.org/web/20160109102438/ashvillechiropractic.com;https://web.archive.org/web/20160205030251/ashvillechiropractic.com;https://web.archive.org/web/20160305024557/ashvillechiropractic.com;https://web.archive.org/web/20160421170852/ashvillechiropractic.com;https://web.archive.org/web/20160430153636/ashvillechiropractic.com;https://web.archive.org/web/20161001172351/ashvillechiropractic.com;https://web.archive.org/web/20161112074042/ashvillechiropractic.com;https://web.archive.org/web/20170523112639/ashvillechiropractic.com;https://web.archive.org/web/20170609202209/ashvillechiropractic.com;https://web.archive.org/web/20170915184738/ashvillechiropractic.com;https://web.archive.org/web/20180318084939/ashvillechiropractic.com;https://web.archive.org/web/20180805112021/ashvillechiropractic.com;https://web.archive.org/web/20180818214704/ashvillechiropractic.com;
ashvilledental.com,2010-05-31,2019-05-31,12,https://web.archive.org/web/20100601085518/ashvilledental.com;https://web.archive.org/web/20110128094910/ashvilledental.com;https://web.archive.org/web/20150801010144/ashvilledental.com;https://web.archive.org/web/20160109092821/ashvilledental.com;https://web.archive.org/web/20170911172537/ashvilledental.com;https://web.archive.org/web/20171111072936/ashvilledental.com;https://web.archive.org/web/20171212032057/ashvilledental.com;https://web.archive.org/web/20180307013045/ashvilledental.com;https://web.archive.org/web/20180415025413/ashvilledental.com;https://web.archive.org/web/20180516050955/ashvilledental.com;https://web.archive.org/web/20180805051107/ashvilledental.com;https://web.archive.org/web/20181022081937/ashvilledental.com;
ashvilleseniorapts.com,2014-07-08,2018-07-08,2,https://web.archive.org/web/20180805053400/ashvilleseniorapts.com;https://web.archive.org/web/20180816120934/ashvilleseniorapts.com;
