url, Error
http://www.isfahn.org,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.joycelyn.top,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.lightsonpublisher.com,HTTPConnectionPool(host='www.lightsonpublisher.com'; port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x03C875F0>; 'Connection to www.lightsonpublisher.com timed out. (connect timeout=10)'))
http://www.ominousentertainment.com,HTTPConnectionPool(host='www.ominousentertainment.com'; port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x03C87630>; 'Connection to www.ominousentertainment.com timed out. (connect timeout=10)'))
http://www.24daystart.com,HTTPConnectionPool(host='www.advocare.com'; port=80): Read timed out. (read timeout=10)
http://www.3d-innovations.us,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.alliedfireservice.com, 403
http://www.allwaterhauling.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.alphadogsitter.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.aubreesbooks.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.beautifullycustomboutique.com,HTTPConnectionPool(host='www.beautifullycustomboutique.com'; port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x03D6C250>; 'Connection to www.beautifullycustomboutique.com timed out. (connect timeout=10)'))
http://www.blueberryvalley.net,HTTPConnectionPool(host='www.blueberryvalley.net'; port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x03D67E30>; 'Connection to www.blueberryvalley.net timed out. (connect timeout=10)'))
http://www.canasigns.org,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.colind.us,('Connection aborted.'; error(10054; 'An existing connection was forcibly closed by the remote host'))
http://www.columbuscorpcoach.com,uncategorized
http://www.columbuscorporatecar.com,uncategorized
http://www.columbuscorporatecoach.com,uncategorized
http://www.columbusturf.com,HTTPConnectionPool(host='www.columbusturf.com'; port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x03D67C90>; 'Connection to www.columbusturf.com timed out. (connect timeout=10)'))
http://www.columbuswedding-photography.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.columbusweddingdj.love,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.congressionalswampgas.com,uncategorized
http://www.corncriblogic.us,uncategorized
http://www.crevmc.net,('Connection aborted.'; error(10061; 'No connection could be made because the target machine actively refused it'))
http://www.crosscreekmeadowsapts.com,uncategorized
http://www.crossestobare.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.crosswoodflags.com, 406
http://www.cuireavecamour.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.cupphotography.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.cuppphotography.com,uncategorized
http://www.danoverholt.net,uncategorized
http://www.danstockham.mobi,uncategorized
http://www.danstockham.net,uncategorized
http://www.danstockham.org,uncategorized
http://www.danstockham.biz,uncategorized
http://www.danstockham.info,uncategorized
http://www.danwiththeplan.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.dashanimalrescue.org,uncategorized
http://www.davecordle.com,uncategorized
http://www.daystarfoh.org, 406
http://www.dbsec-it.com,uncategorized
http://www.deadanomalist.com,uncategorized
http://www.delphosseniorapts.com,uncategorized
http://www.divalashes.us,uncategorized
http://www.europeanbeads.biz,uncategorized
http://www.excalibur-outdoors.com,uncategorized
http://www.fakeoutcallerid.com,HTTPConnectionPool(host='www.fakeoutcallerid.com'; port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x03CA0330>; 'Connection to www.fakeoutcallerid.com timed out. (connect timeout=10)'))
http://www.fastemails.us,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.fhmotorsports.com,uncategorized
http://www.fieldingsreview.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.flightsonline.us,HTTPConnectionPool(host='www.flightsonline.us'; port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x03D73270>; 'Connection to www.flightsonline.us timed out. (connect timeout=10)'))
http://www.floridaccp.com,uncategorized
http://www.foxandsoncomputers.com,uncategorized
http://www.freekn.com,uncategorized
http://www.fsqiv.com,uncategorized
http://www.fuzetechnologysolutions.com,uncategorized
http://www.gaypridemusic.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.giftformedicalprofessionals.com,uncategorized
http://www.globalcharming.com,uncategorized
http://www.globaltransmissionparts.net,uncategorized
http://www.globaltransmissionparts.info,uncategorized
http://www.globaltransmissionparts.org,uncategorized
http://www.globaltransmissionparts.us,uncategorized
http://www.globaltransparts.com,uncategorized
http://www.gmtransmissionparts.net,uncategorized
http://www.gmtransmissionparts.org,uncategorized
http://www.gmtransmissionparts.info,uncategorized
http://www.gonja.us,uncategorized
http://www.goodguys.live,uncategorized
http://www.gpstrackersimcard.com,hostname 'gpstrackersimcards.com' doesn't match either of '*.web-hosting.com'; 'web-hosting.com'
http://www.gpstrackersimcards.com,uncategorized
http://www.gracech.com, 403
http://www.graceforethiopia.com, 406
http://www.greatdaneconstruction.net,uncategorized
http://www.guesthouses.us,HTTPConnectionPool(host='www.guesthouses.us'; port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x03E72A10>; 'Connection to www.guesthouses.us timed out. (connect timeout=10)'))
http://www.halloffameclc.com,uncategorized
http://www.halloffametracker.com,uncategorized
http://www.hammelandmccrady.com,uncategorized
http://www.harmeetchawla.com,uncategorized
http://www.harvestcentercog.org,uncategorized
http://www.hazard975.us,HTTPConnectionPool(host='www.hazard975.us'; port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x03D94DF0>; 'Connection to www.hazard975.us timed out. (connect timeout=10)'))
http://www.healthingrace.com,uncategorized
http://www.heartofohiocounseling.com, 406
http://www.heathenscomedy.com,uncategorized
http://www.heritagenaz.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.hishealingsolution.com,uncategorized
http://www.hockingcabins.net,uncategorized
http://www.hockinghillsoh.net,uncategorized
http://www.hockinhillsguides.com,uncategorized
http://www.hometowncp.com,('Connection aborted.'; error(10054; 'An existing connection was forcibly closed by the remote host'))
http://www.hoofprintfarm.com,uncategorized
http://www.hotelesbaratos.us,HTTPConnectionPool(host='www.hotelesbaratos.us'; port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x03D8A650>; 'Connection to www.hotelesbaratos.us timed out. (connect timeout=10)'))
http://www.hoteleseconomicos.us,HTTPConnectionPool(host='www.hoteleseconomicos.us'; port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x03CA0770>; 'Connection to www.hoteleseconomicos.us timed out. (connect timeout=10)'))
http://www.hotelsonline.us,HTTPConnectionPool(host='www.hotelsonline.us'; port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x03CA07B0>; 'Connection to www.hotelsonline.us timed out. (connect timeout=10)'))
http://www.houseofcardsgaming.com,uncategorized
http://www.howdoyoumark.com,('Connection aborted.'; error(10054; 'An existing connection was forcibly closed by the remote host'))
http://www.huffsconstruction.com,uncategorized
http://www.illinoistransmissionparts.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.ilsejacobsenboots.com,uncategorized
http://www.ind-surplus.com,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.indenterprises.com, 403
http://www.interchangeable.com, 404
http://www.intergalaticenterprises.com,uncategorized
http://www.inventorymanagementsolutions.net,uncategorized
http://www.downhomedesigns.net,uncategorized
http://www.drifitapparel.com,uncategorized
http://www.dryfit.org,uncategorized
http://www.emusselmanphotodesign.com,uncategorized
http://www.endangeredcocktails.org,('Connection aborted.'; gaierror(11001; 'getaddrinfo failed'))
http://www.eversonlawfirm.com,uncategorized
http://www.everydaysunday.com,('Connection aborted.'; BadStatusLine("''";))
